Genre,2014,2015,2016,2017,2018,2019,2020
Crime,4,6.0,61,209,274,416,27
Thriller,1,13.0,75,250,380,458,47
Adventure,3,9.0,57,99,197,260,42
Drama,8,48.0,242,885,1226,1625,148
War,1,,3,25,27,32,1
Documentary,6,18.0,120,299,319,426,35
Family,7,6.0,26,72,128,165,25
Fantasy,1,2.0,29,54,84,139,19
-,11,39.0,192,460,634,756,46
History,1,1.0,16,63,65,60,6
Musical,1,,6,25,39,44,5
Animation,1,11.0,35,60,97,152,15
Horror,1,11.0,44,131,226,282,56
Western,1,1.0,1,16,21,27,4
Biography,2,5.0,29,76,88,103,13
Comedy,7,25.0,123,379,543,840,87
Sport,1,2.0,13,33,35,57,7
